name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
sandeep Bhatia,28,Male,Rural,2024,Not able to vote,A day or two before voting,No response,BJP,No response,Friends/neighbors,Was not in village/city,Somewhat,No,Better,2,Economy,Not sure,No,Don't know,5,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi,Corruption is still pervasive in many sectors.,Support for startups has been promising.,He has a polarizing effect on the electorate.
sandeep Bhatia,28,Male,Rural,2025,Not able to vote,No response,No response,BSP,No good alternative,Don't know,Did not feel like voting,Somewhat,Don't know,Worse,2,National Security,Not sure,Yes,Don't know,1,Reducing poverty,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Efforts on poverty alleviation show mixed results.,Modi's charisma has inspired millions across the nation.
Suresh Gupta,57,Female,Suburban,2020,Able to vote,No response,PM candidate,BSP,No good alternative,"No one, I voted on my own",No response,Not at all,Did not respond,Much worse,4,Education,No,No,Don't know,5,Other,Statement 1: Promotes development,Arvind Kejriwal,The disparity in healthcare costs is concerning.,"Economic growth is visible, but inflation persists.",The handling of economic crises is his weak point.
Suresh Gupta,57,Female,Suburban,2021,Able to vote,A day or two before voting,Candidate,Not sure,No response,Caste/community leader,No response,Not at all,Yes,Much better,3,Healthcare,Yes,Yes,No,3,Global image,No response,Other,Judicial delays are denying timely justice.,"Economic growth is visible, but inflation persists.",His communication skills are his strongest asset.
Suresh Gupta,57,Female,Suburban,2022,Able to vote,No response,Party,Not sure,No good alternative,Friends/neighbors,No response,Great deal,Yes,Better,4,Healthcare,Not sure,Yes,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi,The divide between urban and rural areas is widening.,Environmental conservation is not getting due priority.,Agricultural reforms under him are controversial but necessary.
Suresh Gupta,57,Female,Suburban,2023,Not able to vote,During the campaign,Party,BSP,No good alternative,Other,Other,No response,Did not respond,Much worse,4,Education,Not sure,Yes,Don't know,2,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi,Water scarcity is a growing challenge in arid regions.,Healthcare schemes are ambitious but lack execution.,He has set a high bar for future leadership.
Suresh Gupta,57,Female,Suburban,2024,Not able to vote,During the campaign,PM candidate,BSP,Really wanted to vote,Local political leader,Was not in village/city,Somewhat,Don't know,Remained same,1,Economy,No,No,Yes,4,Reducing poverty,No response,Arvind Kejriwal,The disparity in healthcare costs is concerning.,Social harmony remains a challenge for this government.,There is a clear gap between his vision and execution.
Suresh Gupta,57,Female,Suburban,2025,Not able to vote,On the day of voting,Candidate,BJP,No good alternative,Caste/community leader,No response,Great deal,Yes,Much worse,5,National Security,Yes,No,Yes,3,No response,Statement 2: Important for the same party to remain,Narendra Modi,Digital literacy is critical for inclusive growth.,Policy implementation varies significantly by state.,Modi has brought India global recognition like never before.
Anjali Mishra,53,Male,Rural,2020,Not able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Other,Did not have necessary documents,No response,Yes,Much better,4,Healthcare,Yes,Yes,No,5,Other,Statement 1: Promotes development,Narendra Modi,Judicial delays are denying timely justice.,Employment generation has not kept up with promises.,Modi's charisma has inspired millions across the nation.
Anjali Mishra,53,Male,Rural,2021,Not able to vote,No response,Candidate,BSP,No good alternative,Family member,Did not feel like voting,Great deal,Yes,Much worse,5,Other,Yes,No,No,3,Employment opportunities,No response,Arvind Kejriwal,Poverty alleviation programs are not reaching the grassroots.,The push for renewable energy is commendable.,His reforms are long-term but challenging in the short term.
Anjali Mishra,53,Male,Rural,2022,Not able to vote,During the campaign,No response,Not sure,No response,Religious leader,Was not in village/city,Somewhat,No,Worse,2,Healthcare,Not sure,Yes,Yes,3,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi,Corruption is still pervasive in many sectors.,Efforts on poverty alleviation show mixed results.,His policies have been harsh on small businesses.
Anjali Mishra,53,Male,Rural,2023,Able to vote,A day or two before voting,PM candidate,BJP,No response,Religious leader,No response,Somewhat,Did not respond,Worse,3,Economy,No,Yes,No,1,Improving infrastructure,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Public transport systems have improved drastically.,He has set a high bar for future leadership.
Anjali Mishra,53,Male,Rural,2024,Able to vote,No response,Party,INC,Really wanted to vote,Family member,No response,Somewhat,No,Worse,1,Economy,Yes,Yes,No,4,Employment opportunities,Statement 1: Promotes development,No response,Public housing availability is still very low.,The push for renewable energy is commendable.,His policies have been harsh on small businesses.
Anjali Mishra,53,Male,Rural,2025,Able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,No response,Great deal,Did not respond,Better,2,Education,Yes,No,Yes,1,Global image,No response,Arvind Kejriwal,Judicial delays are denying timely justice.,"Defense upgrades are a good move, but expensive.",His reforms are long-term but challenging in the short term.
Raj Das,34,Female,Urban,2020,Able to vote,No response,Party,INC,No response,Don't know,No response,Somewhat,Don't know,No response,5,Healthcare,No,Yes,Yes,3,Improving infrastructure,Statement 2: Important for the same party to remain,No response,Accessibility for the differently-abled is often ignored.,"Economic growth is visible, but inflation persists.",He has set a high bar for future leadership.
Raj Das,34,Female,Urban,2021,Able to vote,On the day of voting,Candidate,BJP,Really wanted to vote,Family member,No response,Great deal,Don't know,Better,2,Education,Yes,Yes,Don't know,5,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi,Digital literacy is critical for inclusive growth.,Technology integration in governance is appreciated.,There is a clear gap between his vision and execution.
Raj Das,34,Female,Urban,2022,Able to vote,Even before announcement of candidates,No response,AAP,No good alternative,Caste/community leader,No response,Great deal,No,Much better,4,Healthcare,No,No,Don't know,2,Other,No response,Arvind Kejriwal,Water scarcity is a growing challenge in arid regions.,Corruption scandals are less frequent but not eradicated.,The focus on infrastructure is highly appreciated.
Raj Das,34,Female,Urban,2023,Able to vote,On the day of voting,Party,BSP,Really wanted to vote,Don't know,No response,Great deal,No,Remained same,1,Healthcare,Yes,No,No,4,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi,Transportation infrastructure needs massive upgrades.,"Defense upgrades are a good move, but expensive.",He has a polarizing effect on the electorate.
Raj Das,34,Female,Urban,2024,Not able to vote,On the day of voting,Party,AAP,Really wanted to vote,Family member,No response,No response,Did not respond,No response,3,National Security,No,Yes,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Healthcare in rural areas is inadequate.,"Defense upgrades are a good move, but expensive.",The Make in India initiative is gaining traction.
Raj Das,34,Female,Urban,2025,Able to vote,A day or two before voting,Party,AAP,Really wanted to vote,"No one, I voted on my own",No response,Not at all,No,Much better,3,Healthcare,Yes,No,Don't know,1,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,The lack of job security in the gig economy is troubling.,Budget allocations favor the wealthy over the poor.,Social welfare programs have expanded under his tenure.
Ananya Nair,47,Non-binary,Urban,2020,Not able to vote,On the day of voting,No response,BSP,No good alternative,Friends/neighbors,No response,Great deal,Did not respond,No response,3,Other,Yes,No,Don't know,2,No response,Statement 1: Promotes development,Narendra Modi,Access to quality education is a significant concern.,Policy implementation varies significantly by state.,There is a clear gap between his vision and execution.
Ananya Nair,47,Non-binary,Urban,2021,Able to vote,On the day of voting,No response,AAP,Really wanted to vote,Other,No response,Great deal,Did not respond,Worse,2,Other,No,Yes,Yes,3,Other,Statement 1: Promotes development,Arvind Kejriwal,Healthcare in rural areas is inadequate.,"Economic growth is visible, but inflation persists.",Social welfare programs have expanded under his tenure.
Ananya Nair,47,Non-binary,Urban,2022,Able to vote,No response,No response,AAP,No good alternative,"No one, I voted on my own",No response,Not at all,No,No response,4,National Security,No,Yes,Yes,2,Improving infrastructure,Statement 2: Important for the same party to remain,Arvind Kejriwal,Healthcare in rural areas is inadequate.,Education initiatives are underfunded and overlooked.,The focus on infrastructure is highly appreciated.
Ananya Nair,47,Non-binary,Urban,2023,Not able to vote,No response,Party,INC,No good alternative,Local political leader,Did not have necessary documents,Not at all,No,Better,4,Healthcare,Not sure,No,Yes,1,Other,Statement 1: Promotes development,Priyanka Gandhi,Access to quality education is a significant concern.,Social harmony remains a challenge for this government.,Economic policies under him are bold but risky.
Ananya Nair,47,Non-binary,Urban,2024,Able to vote,A day or two before voting,PM candidate,INC,No response,Family member,No response,Great deal,No,Much worse,1,Healthcare,Yes,Yes,Don't know,3,Employment opportunities,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,Efforts on poverty alleviation show mixed results.,Modi has brought India global recognition like never before.
Ananya Nair,47,Non-binary,Urban,2025,Able to vote,Even before announcement of candidates,Party,Not sure,No good alternative,Other,No response,Somewhat,No,Worse,5,Economy,Not sure,No,No,1,No response,Statement 1: Promotes development,Priyanka Gandhi,Tax reforms should be simplified for small businesses.,Public transport systems have improved drastically.,The handling of economic crises is his weak point.
Arjun Chopra,46,Female,Rural,2020,Not able to vote,No response,Candidate,AAP,Really wanted to vote,Family member,Other,Great deal,Don't know,Better,5,Healthcare,No,No,Don't know,2,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal,Healthcare in rural areas is inadequate.,Technology integration in governance is appreciated.,Digital India is one of his landmark achievements.
Arjun Chopra,46,Female,Rural,2021,Not able to vote,No response,Party,BSP,No good alternative,Caste/community leader,Was not in village/city,Great deal,Yes,Much better,1,Other,Yes,No,Don't know,4,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Poverty alleviation programs are not reaching the grassroots.,Environmental conservation is not getting due priority.,Modi's charisma has inspired millions across the nation.
Arjun Chopra,46,Female,Rural,2022,Not able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Don't know,Did not feel like voting,Not at all,Don't know,Much better,4,Economy,No,Yes,No,2,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Women safety and empowerment need more focus.,Policy implementation varies significantly by state.,The Make in India initiative is gaining traction.
Arjun Chopra,46,Female,Rural,2023,Not able to vote,A day or two before voting,Party,INC,No good alternative,Friends/neighbors,No response,Great deal,Yes,Much worse,1,Other,Not sure,Yes,Yes,2,Modi's leadership,Statement 1: Promotes development,No response,Digital literacy is critical for inclusive growth.,Global relations have strengthened under this government.,His governance style is centralized but effective.
Arjun Chopra,46,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Other,Great deal,Don't know,Much better,3,Other,No,No,Don't know,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Healthcare in rural areas is inadequate.,Social harmony remains a challenge for this government.,His communication skills are his strongest asset.
Arjun Chopra,46,Female,Rural,2025,Not able to vote,Even before announcement of candidates,PM candidate,Not sure,No response,Don't know,Other,Great deal,Did not respond,Remained same,1,National Security,Not sure,Yes,Don't know,2,Employment opportunities,No response,Rahul Gandhi,Access to quality education is a significant concern.,Environmental conservation is not getting due priority.,Modi has brought India global recognition like never before.
Vivaan Kumar,24,Male,Rural,2020,Not able to vote,Even before announcement of candidates,PM candidate,INC,Really wanted to vote,Other,Other,No response,Don't know,Better,5,Healthcare,No,No,Don't know,3,Improving infrastructure,No response,Other,Women safety and empowerment need more focus.,"Economic growth is visible, but inflation persists.",Social welfare programs have expanded under his tenure.
Vivaan Kumar,24,Male,Rural,2021,Able to vote,No response,Candidate,BJP,Really wanted to vote,Caste/community leader,No response,Great deal,Did not respond,Much worse,4,Other,Yes,Yes,No,3,No response,Statement 2: Important for the same party to remain,Narendra Modi,Skilled labor training is insufficient to meet industry demands.,The infrastructure development has been remarkable.,Social welfare programs have expanded under his tenure.
Vivaan Kumar,24,Male,Rural,2022,Able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,"No one, I voted on my own",No response,Somewhat,No,Better,5,Other,Yes,Yes,Yes,1,Employment opportunities,Statement 1: Promotes development,Other,Corruption is still pervasive in many sectors.,Budget allocations favor the wealthy over the poor.,He has set a high bar for future leadership.
Vivaan Kumar,24,Male,Rural,2023,Not able to vote,No response,Party,Not sure,Really wanted to vote,Religious leader,Did not have necessary documents,No response,Yes,Much worse,5,Healthcare,No,No,No,1,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi,Rising inflation is affecting middle-class families heavily.,"Defense upgrades are a good move, but expensive.",Modi's charisma has inspired millions across the nation.
Vivaan Kumar,24,Male,Rural,2024,Not able to vote,No response,Candidate,BJP,No response,"No one, I voted on my own",Other,Great deal,Did not respond,No response,1,Education,Yes,No,Don't know,3,Global image,Statement 1: Promotes development,Narendra Modi,Healthcare in rural areas is inadequate.,Social harmony remains a challenge for this government.,He has a polarizing effect on the electorate.
Vivaan Kumar,24,Male,Rural,2025,Able to vote,No response,Candidate,BSP,No good alternative,Local political leader,No response,No response,Yes,Remained same,3,National Security,Yes,Yes,No,1,Other,Statement 2: Important for the same party to remain,No response,The divide between urban and rural areas is widening.,Social harmony remains a challenge for this government.,Economic policies under him are bold but risky.
Priya khan,24,Non-binary,Suburban,2020,Not able to vote,During the campaign,Party,Not sure,Really wanted to vote,Friends/neighbors,Was not in village/city,Not at all,Yes,Much worse,1,Other,Not sure,Yes,No,3,Modi's leadership,Statement 2: Important for the same party to remain,Priyanka Gandhi,Water scarcity is a growing challenge in arid regions.,Employment generation has not kept up with promises.,Digital India is one of his landmark achievements.
Priya khan,24,Non-binary,Suburban,2021,Not able to vote,No response,Candidate,INC,No response,Local political leader,Was not in village/city,Not at all,No,Worse,5,Economy,Not sure,No,Yes,2,Global image,No response,Narendra Modi,Judicial delays are denying timely justice.,The push for renewable energy is commendable.,Modi's charisma has inspired millions across the nation.
Priya khan,24,Non-binary,Suburban,2022,Not able to vote,A day or two before voting,Party,BSP,Really wanted to vote,Family member,Other,No response,Did not respond,Much better,2,Education,Not sure,No,No,3,Employment opportunities,No response,Other,Judicial delays are denying timely justice.,Budget allocations favor the wealthy over the poor.,Economic policies under him are bold but risky.
Priya khan,24,Non-binary,Suburban,2023,Not able to vote,On the day of voting,PM candidate,AAP,No good alternative,"No one, I voted on my own",Was ill,Not at all,Don't know,Much better,4,Other,Yes,Yes,No,1,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Rising inflation is affecting middle-class families heavily.,Healthcare schemes are ambitious but lack execution.,He has set a high bar for future leadership.
Priya khan,24,Non-binary,Suburban,2024,Not able to vote,On the day of voting,PM candidate,BSP,Really wanted to vote,Don't know,No response,Great deal,Don't know,Worse,1,Healthcare,Not sure,No,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi,Water scarcity is a growing challenge in arid regions.,"Economic growth is visible, but inflation persists.",His communication skills are his strongest asset.
Priya khan,24,Non-binary,Suburban,2025,Able to vote,Even before announcement of candidates,PM candidate,AAP,No response,Don't know,No response,Somewhat,Don't know,Remained same,3,Other,No,No,Don't know,2,No response,Statement 1: Promotes development,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,Global relations have strengthened under this government.,His leadership is visionary but divisive at times.
Rohan Gupta,48,Female,Urban,2020,Able to vote,No response,No response,AAP,No response,Local political leader,No response,No response,Did not respond,Worse,5,National Security,Not sure,Yes,No,2,Global image,No response,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Employment generation has not kept up with promises.,Economic policies under him are bold but risky.
Rohan Gupta,48,Female,Urban,2021,Able to vote,A day or two before voting,Party,BSP,No good alternative,"No one, I voted on my own",No response,Great deal,Don't know,Better,5,Other,No,Yes,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,No response,Judicial delays are denying timely justice.,Budget allocations favor the wealthy over the poor.,The handling of economic crises is his weak point.
Rohan Gupta,48,Female,Urban,2022,Not able to vote,No response,No response,Not sure,No good alternative,Local political leader,Other,Great deal,No,Worse,3,National Security,Not sure,No,Yes,2,Improving infrastructure,No response,Rahul Gandhi,Environmental degradation is becoming a crisis.,Ease of doing business has improved visibly.,There is a clear gap between his vision and execution.
Rohan Gupta,48,Female,Urban,2023,Not able to vote,During the campaign,No response,INC,No response,Friends/neighbors,Did not feel like voting,No response,Don't know,Worse,3,National Security,Yes,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Other,Healthcare in rural areas is inadequate.,Social harmony remains a challenge for this government.,The focus on infrastructure is highly appreciated.
Rohan Gupta,48,Female,Urban,2024,Not able to vote,A day or two before voting,No response,INC,Really wanted to vote,"No one, I voted on my own",Was ill,Somewhat,Don't know,Worse,3,National Security,Not sure,No,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Rising inflation is affecting middle-class families heavily.,The infrastructure development has been remarkable.,Modi has brought India global recognition like never before.
Rohan Gupta,48,Female,Urban,2025,Not able to vote,On the day of voting,No response,INC,No good alternative,Other,Other,Somewhat,Did not respond,Much worse,3,Healthcare,Yes,No,Yes,3,Other,Statement 2: Important for the same party to remain,No response,Judicial delays are denying timely justice.,The infrastructure development has been remarkable.,His reforms are long-term but challenging in the short term.
Anjali Nair,56,Female,Rural,2020,Able to vote,After announcement of candidates,No response,Not sure,Really wanted to vote,Other,No response,Great deal,Did not respond,No response,5,Education,No,Yes,No,4,Reducing poverty,Statement 1: Promotes development,Narendra Modi,Tax reforms should be simplified for small businesses.,Public transport systems have improved drastically.,Social welfare programs have expanded under his tenure.
Anjali Nair,56,Female,Rural,2021,Able to vote,On the day of voting,Candidate,INC,No good alternative,Don't know,No response,No response,Don't know,Remained same,3,Healthcare,Not sure,Yes,Yes,4,Improving infrastructure,Statement 1: Promotes development,Other,Skilled labor training is insufficient to meet industry demands.,Social harmony remains a challenge for this government.,His leadership is visionary but divisive at times.
Anjali Nair,56,Female,Rural,2022,Not able to vote,After announcement of candidates,No response,INC,No good alternative,Religious leader,Other,Somewhat,Did not respond,Much better,1,Education,Yes,No,No,2,No response,No response,No response,Women safety and empowerment need more focus.,The crackdown on black money is partially effective.,His ability to connect with the masses is unmatched.
Anjali Nair,56,Female,Rural,2023,Not able to vote,During the campaign,PM candidate,BJP,Really wanted to vote,Local political leader,Did not feel like voting,Great deal,Did not respond,Remained same,1,Other,Not sure,Yes,No,4,No response,Statement 2: Important for the same party to remain,Narendra Modi,Rising inflation is affecting middle-class families heavily.,Skill development initiatives are showing results slowly.,Digital India is one of his landmark achievements.
Anjali Nair,56,Female,Rural,2024,Able to vote,A day or two before voting,Candidate,AAP,No response,"No one, I voted on my own",No response,Somewhat,Don't know,Much better,3,Education,No,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,Tax reforms should be simplified for small businesses.,Support for startups has been promising.,His leadership is visionary but divisive at times.
Anjali Nair,56,Female,Rural,2025,Able to vote,A day or two before voting,Party,INC,No response,Family member,No response,Not at all,Yes,Much better,1,Economy,No,Yes,No,1,Employment opportunities,Statement 2: Important for the same party to remain,No response,Access to quality education is a significant concern.,Ease of doing business has improved visibly.,His communication skills are his strongest asset.
Rahul Singh,42,Male,Urban,2020,Able to vote,No response,No response,Not sure,No good alternative,Other,No response,No response,Don't know,Much worse,5,Other,Yes,Yes,No,4,Improving infrastructure,No response,Arvind Kejriwal,Agriculture reforms are needed for farmer sustainability.,Corruption scandals are less frequent but not eradicated.,Modi's charisma has inspired millions across the nation.
Rahul Singh,42,Male,Urban,2021,Not able to vote,During the campaign,Candidate,BSP,Really wanted to vote,Don't know,No response,Somewhat,Don't know,Remained same,1,National Security,Yes,No,No,3,Improving infrastructure,No response,No response,Unemployment among the youth is alarming.,The push for renewable energy is commendable.,There is a clear gap between his vision and execution.
Rahul Singh,42,Male,Urban,2022,Not able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Other,Great deal,Did not respond,Much better,3,National Security,Not sure,Yes,Don't know,3,Modi's leadership,Statement 1: Promotes development,Narendra Modi,Water scarcity is a growing challenge in arid regions.,Efforts on poverty alleviation show mixed results.,Modi's charisma has inspired millions across the nation.
Rahul Singh,42,Male,Urban,2023,Not able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Local political leader,Other,No response,Yes,Better,1,Healthcare,Yes,Yes,Don't know,3,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi,Unemployment among the youth is alarming.,Skill development initiatives are showing results slowly.,His ability to connect with the masses is unmatched.
Rahul Singh,42,Male,Urban,2024,Not able to vote,Even before announcement of candidates,PM candidate,Not sure,Really wanted to vote,Religious leader,Did not have necessary documents,Great deal,Don't know,Much better,3,Other,Yes,Yes,Yes,3,Global image,No response,No response,Women safety and empowerment need more focus.,The push for renewable energy is commendable.,His policies have been harsh on small businesses.
Rahul Singh,42,Male,Urban,2025,Able to vote,During the campaign,PM candidate,AAP,No good alternative,Family member,No response,Not at all,Did not respond,Much better,4,Economy,No,No,Yes,4,Improving infrastructure,Statement 1: Promotes development,Arvind Kejriwal,Environmental degradation is becoming a crisis.,Ease of doing business has improved visibly.,Social welfare programs have expanded under his tenure.
saurabh Chopra,52,Female,Rural,2020,Able to vote,After announcement of candidates,Candidate,BSP,Really wanted to vote,Religious leader,No response,Somewhat,Don't know,Much better,4,Economy,No,No,Don't know,5,Improving infrastructure,Statement 1: Promotes development,Narendra Modi,Tax reforms should be simplified for small businesses.,Social harmony remains a challenge for this government.,Criticism on freedom of speech has grown under his tenure.
saurabh Chopra,52,Female,Rural,2021,Able to vote,On the day of voting,Party,Not sure,No response,Friends/neighbors,No response,Somewhat,Did not respond,Better,4,Economy,Yes,No,No,1,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Access to quality education is a significant concern.,Environmental conservation is not getting due priority.,The focus on infrastructure is highly appreciated.
saurabh Chopra,52,Female,Rural,2022,Not able to vote,Even before announcement of candidates,Party,INC,No good alternative,Don't know,Did not have necessary documents,Not at all,Don't know,No response,4,Other,Yes,Yes,No,5,Other,Statement 1: Promotes development,Arvind Kejriwal,Transportation infrastructure needs massive upgrades.,Efforts on poverty alleviation show mixed results.,The focus on infrastructure is highly appreciated.
saurabh Chopra,52,Female,Rural,2023,Not able to vote,A day or two before voting,PM candidate,AAP,No response,Religious leader,Was ill,Somewhat,Yes,Much better,4,National Security,No,No,No,4,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal,The divide between urban and rural areas is widening.,Employment generation has not kept up with promises.,His reforms are long-term but challenging in the short term.
saurabh Chopra,52,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Candidate,INC,No good alternative,Religious leader,Did not have necessary documents,Great deal,Did not respond,Better,5,National Security,Yes,No,Don't know,1,Employment opportunities,Statement 1: Promotes development,Other,The divide between urban and rural areas is widening.,Corruption scandals are less frequent but not eradicated.,The Make in India initiative is gaining traction.
