name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Suresh Gupta,57,Female,Suburban,2024,Not able to vote,During the campaign,PM candidate,BSP,Really wanted to vote,Local political leader,Was not in village/city,Somewhat,Don't know,Remained same,1,Economy,No,No,Yes,4,Reducing poverty,No response,Arvind Kejriwal
Suresh Gupta,57,Female,Suburban,2025,Not able to vote,On the day of voting,Candidate,BJP,No good alternative,Caste/community leader,No response,Great deal,Yes,Much worse,5,National Security,Yes,No,Yes,3,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Anjali Mishra,53,Male,Rural,2020,Not able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Other,Did not have necessary documents,No response,Yes,Much better,4,Healthcare,Yes,Yes,No,5,Other,Statement 1: Promotes development,Rahul Gandhi
Anjali Mishra,53,Male,Rural,2021,Not able to vote,No response,Candidate,BSP,No good alternative,Family member,Did not feel like voting,Great deal,Yes,Much worse,5,Other,Yes,No,No,3,Employment opportunities,No response,Arvind Kejriwal
Anjali Mishra,53,Male,Rural,2022,Not able to vote,During the campaign,No response,Not sure,No response,Religious leader,Was not in village/city,Somewhat,No,Worse,2,Healthcare,Not sure,Yes,Yes,3,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Anjali Mishra,53,Male,Rural,2023,Able to vote,A day or two before voting,PM candidate,BSP,No response,Religious leader,No response,Somewhat,Did not respond,Worse,3,Economy,No,Yes,No,1,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Anjali Mishra,53,Male,Rural,2024,Able to vote,No response,Party,INC,Really wanted to vote,Family member,No response,Somewhat,No,Worse,1,Economy,Yes,Yes,No,4,Employment opportunities,Statement 1: Promotes development,No response
Anjali Mishra,53,Male,Rural,2025,Able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Did not feel like voting,Great deal,Did not respond,Better,2,Education,Yes,No,Yes,1,Global image,No response,Arvind Kejriwal
Raj Das,34,Female,Urban,2020,Able to vote,No response,Party,INC,No response,Don't know,Was not in village/city,Somewhat,Don't know,No response,5,Healthcare,No,Yes,Yes,3,Improving infrastructure,Statement 2: Important for the same party to remain,No response
Raj Das,34,Female,Urban,2021,Able to vote,On the day of voting,Candidate,BJP,No good alternative,Family member,Was not in village/city,Great deal,Don't know,Better,2,Education,Yes,Yes,Don't know,5,Improving infrastructure,Statement 2: Important for the same party to remain,Priyanka Gandhi
Raj Das,34,Female,Urban,2022,Able to vote,Even before announcement of candidates,No response,AAP,No good alternative,Caste/community leader,Other,Great deal,No,Much better,4,Healthcare,No,No,Don't know,2,Other,No response,No response
Raj Das,34,Female,Urban,2023,Able to vote,On the day of voting,Party,BSP,No good alternative,Don't know,No response,Great deal,No,Remained same,1,Healthcare,Yes,No,No,4,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi
Raj Das,34,Female,Urban,2024,Not able to vote,On the day of voting,Party,AAP,Really wanted to vote,Family member,No response,No response,Did not respond,No response,3,National Security,No,Yes,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,Other
Raj Das,34,Female,Urban,2025,Able to vote,A day or two before voting,Party,AAP,Really wanted to vote,"No one, I voted on my own",No response,Not at all,No,Much better,3,Healthcare,Yes,No,Don't know,1,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal
Ananya Nair,47,Non-binary,Urban,2020,Not able to vote,On the day of voting,No response,BSP,No good alternative,Friends/neighbors,No response,Great deal,Did not respond,No response,3,Other,Yes,No,Don't know,2,No response,Statement 1: Promotes development,Narendra Modi
Ananya Nair,47,Non-binary,Urban,2021,Able to vote,On the day of voting,No response,AAP,Really wanted to vote,Other,Was not in village/city,Great deal,Did not respond,Worse,2,Other,No,Yes,Yes,3,Other,Statement 1: Promotes development,Narendra Modi
Ananya Nair,47,Non-binary,Urban,2022,Able to vote,No response,No response,AAP,No good alternative,"No one, I voted on my own",Did not have necessary documents,Not at all,No,No response,4,National Security,No,Yes,Yes,2,Improving infrastructure,Statement 2: Important for the same party to remain,Other
Ananya Nair,47,Non-binary,Urban,2023,Not able to vote,No response,Party,INC,No good alternative,Local political leader,Did not have necessary documents,Not at all,No,Better,4,Healthcare,Not sure,No,Yes,1,Other,Statement 1: Promotes development,Priyanka Gandhi
Ananya Nair,47,Non-binary,Urban,2024,Able to vote,A day or two before voting,PM candidate,INC,No response,Family member,No response,Great deal,No,Much worse,1,Healthcare,Yes,Yes,Don't know,3,Employment opportunities,Statement 1: Promotes development,Narendra Modi
Ananya Nair,47,Non-binary,Urban,2025,Able to vote,Even before announcement of candidates,Party,Not sure,No good alternative,Other,Was ill,Somewhat,No,Worse,5,Economy,Not sure,No,No,1,No response,Statement 1: Promotes development,Priyanka Gandhi
Arjun Chopra,46,Female,Rural,2020,Not able to vote,No response,Candidate,AAP,Really wanted to vote,Family member,Other,Great deal,Don't know,Better,5,Healthcare,No,No,Don't know,2,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Arjun Chopra,46,Female,Rural,2021,Not able to vote,No response,Party,BSP,No good alternative,Caste/community leader,Was not in village/city,Great deal,Yes,Much better,1,Other,Yes,No,Don't know,4,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Arjun Chopra,46,Female,Rural,2022,Not able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Don't know,Did not feel like voting,Not at all,Don't know,Much better,4,Economy,No,Yes,No,2,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
Arjun Chopra,46,Female,Rural,2023,Not able to vote,A day or two before voting,Party,INC,No good alternative,Friends/neighbors,No response,Great deal,Yes,Much worse,1,Other,Not sure,Yes,Yes,2,Modi's leadership,Statement 1: Promotes development,No response
Arjun Chopra,46,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Other,Great deal,Don't know,Much better,3,Other,No,No,Don't know,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal
Arjun Chopra,46,Female,Rural,2025,Not able to vote,Even before announcement of candidates,PM candidate,Not sure,No response,Don't know,Other,Great deal,Did not respond,Remained same,1,National Security,Not sure,Yes,Don't know,2,Employment opportunities,No response,Rahul Gandhi
Vivaan Kumar,24,Male,Rural,2020,Not able to vote,Even before announcement of candidates,PM candidate,INC,Really wanted to vote,Other,Other,No response,Don't know,Better,5,Healthcare,No,No,Don't know,3,Improving infrastructure,No response,Other
Vivaan Kumar,24,Male,Rural,2021,Able to vote,No response,Candidate,BJP,Really wanted to vote,Caste/community leader,Did not feel like voting,Great deal,Did not respond,Much worse,4,Other,Yes,Yes,No,3,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Vivaan Kumar,24,Male,Rural,2022,Able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,"No one, I voted on my own",Other,Somewhat,No,Better,5,Other,Yes,Yes,Yes,1,Employment opportunities,Statement 1: Promotes development,Other
Vivaan Kumar,24,Male,Rural,2023,Not able to vote,No response,Party,Not sure,Really wanted to vote,Religious leader,Did not have necessary documents,No response,Yes,Much worse,5,Healthcare,No,No,No,1,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi
Vivaan Kumar,24,Male,Rural,2024,Not able to vote,No response,Candidate,BJP,No response,"No one, I voted on my own",Other,Great deal,Did not respond,No response,1,Education,Yes,No,Don't know,3,Global image,Statement 1: Promotes development,Priyanka Gandhi
Vivaan Kumar,24,Male,Rural,2025,Able to vote,No response,Candidate,BSP,No good alternative,Local political leader,Was ill,No response,Yes,Remained same,3,National Security,Yes,Yes,No,1,Other,Statement 2: Important for the same party to remain,No response
Priya khan,24,Non-binary,Suburban,2020,Not able to vote,During the campaign,Party,Not sure,Really wanted to vote,Friends/neighbors,Was not in village/city,Not at all,Yes,Much worse,1,Other,Not sure,Yes,No,3,Modi's leadership,Statement 2: Important for the same party to remain,Priyanka Gandhi
Priya khan,24,Non-binary,Suburban,2021,Not able to vote,No response,Candidate,INC,No response,Local political leader,Was not in village/city,Not at all,No,Worse,5,Economy,Not sure,No,Yes,2,Global image,No response,Narendra Modi
Priya khan,24,Non-binary,Suburban,2022,Not able to vote,A day or two before voting,Party,BSP,Really wanted to vote,Family member,Other,No response,Did not respond,Much better,2,Education,Not sure,No,No,3,Employment opportunities,No response,Other
Priya khan,24,Non-binary,Suburban,2023,Not able to vote,On the day of voting,PM candidate,AAP,No good alternative,"No one, I voted on my own",Was ill,Not at all,Don't know,Much better,4,Other,Yes,Yes,No,1,Reducing poverty,Statement 1: Promotes development,Narendra Modi
Priya khan,24,Non-binary,Suburban,2024,Not able to vote,On the day of voting,PM candidate,BSP,No good alternative,Don't know,No response,Great deal,Don't know,Worse,1,Healthcare,Not sure,No,Yes,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Priya khan,24,Non-binary,Suburban,2025,Able to vote,Even before announcement of candidates,PM candidate,AAP,No response,Don't know,Did not have necessary documents,Somewhat,Don't know,Remained same,3,Other,No,No,Don't know,2,No response,Statement 1: Promotes development,Narendra Modi
Rohan Gupta,48,Female,Urban,2020,Able to vote,No response,No response,AAP,No response,Local political leader,Other,No response,Did not respond,Worse,5,National Security,Not sure,Yes,No,2,Global image,No response,Other
Rohan Gupta,48,Female,Urban,2021,Able to vote,A day or two before voting,Party,BSP,No good alternative,"No one, I voted on my own",Was ill,Great deal,Don't know,Better,5,Other,No,Yes,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,No response
Rohan Gupta,48,Female,Urban,2022,Not able to vote,No response,No response,Not sure,No good alternative,Local political leader,Other,Great deal,No,Worse,3,National Security,Not sure,No,Yes,2,Improving infrastructure,No response,Rahul Gandhi
Rohan Gupta,48,Female,Urban,2023,Not able to vote,During the campaign,No response,INC,No response,Friends/neighbors,Did not feel like voting,No response,Don't know,Worse,3,National Security,Yes,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Other
Rohan Gupta,48,Female,Urban,2024,Not able to vote,A day or two before voting,No response,INC,Really wanted to vote,"No one, I voted on my own",Was ill,Somewhat,Don't know,Worse,3,National Security,Not sure,No,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal
Rohan Gupta,48,Female,Urban,2025,Not able to vote,On the day of voting,No response,INC,No good alternative,Other,Other,Somewhat,Did not respond,Much worse,3,Healthcare,Yes,No,Yes,3,Other,Statement 2: Important for the same party to remain,No response
Anjali Nair,56,Female,Rural,2020,Able to vote,After announcement of candidates,No response,Not sure,Really wanted to vote,Other,Did not feel like voting,Great deal,Did not respond,No response,5,Education,No,Yes,No,4,Reducing poverty,Statement 1: Promotes development,Narendra Modi
Anjali Nair,56,Female,Rural,2021,Able to vote,On the day of voting,Candidate,INC,No good alternative,Don't know,Other,No response,Don't know,Remained same,3,Healthcare,Not sure,Yes,Yes,4,Improving infrastructure,Statement 1: Promotes development,Other
Anjali Nair,56,Female,Rural,2022,Not able to vote,After announcement of candidates,No response,INC,No good alternative,Religious leader,Other,Somewhat,Did not respond,Much better,1,Education,Yes,No,No,2,No response,No response,No response
Anjali Nair,56,Female,Rural,2023,Not able to vote,During the campaign,PM candidate,BJP,Really wanted to vote,Local political leader,Did not feel like voting,Great deal,Did not respond,Remained same,1,Other,Not sure,Yes,No,4,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Anjali Nair,56,Female,Rural,2024,Able to vote,A day or two before voting,Candidate,AAP,No response,"No one, I voted on my own",No response,Somewhat,Don't know,Much better,3,Education,No,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
Anjali Nair,56,Female,Rural,2025,Able to vote,A day or two before voting,Party,INC,No response,Family member,Was ill,Not at all,Yes,Much better,1,Economy,No,Yes,No,1,Employment opportunities,Statement 2: Important for the same party to remain,No response
Rahul Singh,42,Male,Urban,2020,Able to vote,No response,No response,Not sure,No good alternative,Other,No response,No response,Don't know,Much worse,5,Other,Yes,Yes,No,4,Improving infrastructure,No response,Arvind Kejriwal
Rahul Singh,42,Male,Urban,2021,Not able to vote,During the campaign,Candidate,BSP,Really wanted to vote,Don't know,No response,Somewhat,Don't know,Remained same,1,National Security,Yes,No,No,3,Improving infrastructure,No response,No response
Rahul Singh,42,Male,Urban,2022,Not able to vote,Even before announcement of candidates,Candidate,Not sure,Really wanted to vote,Other,Other,Great deal,Did not respond,Much better,3,National Security,Not sure,Yes,Don't know,3,Modi's leadership,Statement 1: Promotes development,Narendra Modi
Rahul Singh,42,Male,Urban,2023,Not able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Local political leader,Other,No response,Yes,Better,1,Healthcare,Yes,Yes,Don't know,3,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Rahul Singh,42,Male,Urban,2024,Not able to vote,Even before announcement of candidates,PM candidate,Not sure,Really wanted to vote,Religious leader,Did not have necessary documents,Great deal,Don't know,Much better,3,Other,Yes,Yes,Yes,3,Global image,No response,No response
Rahul Singh,42,Male,Urban,2025,Able to vote,During the campaign,PM candidate,AAP,No good alternative,Family member,Did not have necessary documents,Not at all,Did not respond,Much better,4,Economy,No,No,Yes,4,Improving infrastructure,Statement 1: Promotes development,Rahul Gandhi
saurabh Chopra,52,Female,Rural,2020,Able to vote,After announcement of candidates,Candidate,BSP,Really wanted to vote,Religious leader,Did not feel like voting,Somewhat,Don't know,Much better,4,Economy,No,No,Don't know,5,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
saurabh Chopra,52,Female,Rural,2021,Able to vote,On the day of voting,Party,Not sure,No response,Friends/neighbors,Did not have necessary documents,Somewhat,Did not respond,Better,4,Economy,Yes,No,No,1,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
saurabh Chopra,52,Female,Rural,2022,Not able to vote,Even before announcement of candidates,Party,INC,No good alternative,Don't know,Did not have necessary documents,Not at all,Don't know,No response,4,Other,Yes,Yes,No,5,Other,Statement 1: Promotes development,Arvind Kejriwal
saurabh Chopra,52,Female,Rural,2023,Not able to vote,A day or two before voting,PM candidate,AAP,No response,Religious leader,Was ill,Somewhat,Yes,Much better,4,National Security,No,No,No,4,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi
saurabh Chopra,52,Female,Rural,2024,Not able to vote,Even before announcement of candidates,Candidate,INC,No good alternative,Religious leader,Did not have necessary documents,Great deal,Did not respond,Better,5,National Security,Yes,No,Don't know,1,Employment opportunities,Statement 1: Promotes development,Other
saurabh Chopra,52,Female,Rural,2025,Not able to vote,After announcement of candidates,PM candidate,BJP,No response,Don't know,No response,No response,Yes,No response,2,Other,Not sure,No,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
sandeep Bose,28,Male,Urban,2020,Not able to vote,A day or two before voting,PM candidate,BSP,Really wanted to vote,Friends/neighbors,Other,Not at all,No,Much better,3,Other,Not sure,Yes,No,3,Improving infrastructure,No response,Rahul Gandhi
sandeep Bose,28,Male,Urban,2021,Able to vote,Even before announcement of candidates,PM candidate,BJP,Really wanted to vote,Don't know,Was ill,Great deal,No,No response,4,National Security,Not sure,No,No,1,Other,No response,Other
sandeep Bose,28,Male,Urban,2022,Able to vote,A day or two before voting,No response,BJP,No response,Don't know,Other,Great deal,Did not respond,No response,5,Economy,No,No,Yes,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal
sandeep Bose,28,Male,Urban,2023,Not able to vote,No response,PM candidate,BJP,Really wanted to vote,Don't know,Did not feel like voting,Great deal,Don't know,Worse,5,Education,Not sure,Yes,No,3,Employment opportunities,No response,Rahul Gandhi
sandeep Bose,28,Male,Urban,2024,Not able to vote,On the day of voting,Candidate,Not sure,Really wanted to vote,Local political leader,Was not in village/city,No response,No,Remained same,2,Economy,Yes,No,No,5,Modi's leadership,No response,Priyanka Gandhi
sandeep Bose,28,Male,Urban,2025,Not able to vote,A day or two before voting,PM candidate,BJP,Really wanted to vote,Local political leader,Was ill,Great deal,Yes,Remained same,2,Economy,Yes,No,Don't know,5,No response,Statement 1: Promotes development,Priyanka Gandhi
Kabir ansari,30,Male,Suburban,2020,Not able to vote,After announcement of candidates,Candidate,BSP,No good alternative,Religious leader,Was ill,Somewhat,Don't know,Much better,3,Other,Not sure,No,No,2,Employment opportunities,No response,Other
Kabir ansari,30,Male,Suburban,2021,Able to vote,Even before announcement of candidates,Party,INC,Really wanted to vote,Family member,Other,No response,Yes,Better,2,Healthcare,Not sure,Yes,No,1,No response,No response,Other
Kabir ansari,30,Male,Suburban,2022,Able to vote,No response,PM candidate,BSP,Really wanted to vote,"No one, I voted on my own",Did not have necessary documents,Great deal,Don't know,Worse,5,Other,No,No,Don't know,4,Improving infrastructure,Statement 2: Important for the same party to remain,Other
Kabir ansari,30,Male,Suburban,2023,Able to vote,During the campaign,Party,BSP,Really wanted to vote,Other,No response,Somewhat,Yes,Much worse,2,Economy,Yes,No,Yes,1,Employment opportunities,Statement 1: Promotes development,Other
Kabir ansari,30,Male,Suburban,2024,Able to vote,On the day of voting,Party,Not sure,No good alternative,Don't know,Was not in village/city,No response,Did not respond,Much worse,2,National Security,Not sure,Yes,Yes,5,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal
Kabir ansari,30,Male,Suburban,2025,Not able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Family member,Did not feel like voting,Great deal,Yes,No response,4,Education,Yes,Yes,No,5,Reducing poverty,Statement 1: Promotes development,No response
sumit Gupta,55,Non-binary,Suburban,2020,Not able to vote,After announcement of candidates,PM candidate,BJP,No good alternative,Caste/community leader,Did not have necessary documents,Great deal,Yes,Remained same,3,Other,Yes,No,Yes,3,Global image,Statement 1: Promotes development,Rahul Gandhi
sumit Gupta,55,Non-binary,Suburban,2021,Not able to vote,No response,No response,AAP,No good alternative,"No one, I voted on my own",Other,Great deal,Did not respond,Much better,5,Other,No,Yes,Don't know,3,Improving infrastructure,No response,Rahul Gandhi
sumit Gupta,55,Non-binary,Suburban,2022,Able to vote,During the campaign,Candidate,BSP,No response,"No one, I voted on my own",Was not in village/city,Somewhat,Did not respond,Much better,5,Education,No,No,Don't know,4,Employment opportunities,No response,Priyanka Gandhi
sumit Gupta,55,Non-binary,Suburban,2023,Not able to vote,No response,PM candidate,Not sure,No good alternative,Local political leader,Did not feel like voting,Not at all,Yes,Much worse,2,Healthcare,No,Yes,No,3,Reducing poverty,Statement 2: Important for the same party to remain,Rahul Gandhi
sumit Gupta,55,Non-binary,Suburban,2024,Not able to vote,On the day of voting,Candidate,BSP,No response,"No one, I voted on my own",Was not in village/city,Great deal,No,Much worse,3,Economy,No,Yes,No,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
sumit Gupta,55,Non-binary,Suburban,2025,Not able to vote,No response,Party,AAP,No response,Local political leader,Other,Not at all,Don't know,Better,1,Economy,No,Yes,Don't know,5,Other,No response,Arvind Kejriwal
Nisha Bhatia,42,Female,Rural,2020,Able to vote,During the campaign,PM candidate,INC,Really wanted to vote,Caste/community leader,Did not have necessary documents,No response,Don't know,Better,2,Economy,No,Yes,No,5,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
Nisha Bhatia,42,Female,Rural,2021,Able to vote,No response,No response,BJP,No good alternative,"No one, I voted on my own",Did not have necessary documents,Great deal,Don't know,No response,3,Healthcare,Not sure,No,No,3,Modi's leadership,No response,Priyanka Gandhi
Nisha Bhatia,42,Female,Rural,2022,Not able to vote,No response,PM candidate,AAP,Really wanted to vote,Local political leader,No response,No response,Yes,Much worse,1,Economy,Not sure,No,Don't know,2,No response,Statement 2: Important for the same party to remain,Other
Nisha Bhatia,42,Female,Rural,2023,Able to vote,No response,Candidate,BJP,No good alternative,Don't know,Was ill,Not at all,Yes,Worse,5,Healthcare,Yes,No,Don't know,2,Employment opportunities,No response,Arvind Kejriwal
Nisha Bhatia,42,Female,Rural,2024,Not able to vote,On the day of voting,Party,BSP,Really wanted to vote,Friends/neighbors,Was not in village/city,No response,Did not respond,Much better,3,National Security,Not sure,No,Yes,4,Global image,Statement 2: Important for the same party to remain,Narendra Modi
Nisha Bhatia,42,Female,Rural,2025,Able to vote,During the campaign,Party,BSP,Really wanted to vote,Caste/community leader,No response,Great deal,Did not respond,Better,2,Other,Not sure,No,Yes,2,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi
Meera Iyer,47,Non-binary,Urban,2020,Able to vote,No response,No response,BJP,No good alternative,Family member,Was ill,Not at all,No,Much better,2,Economy,No,No,Yes,4,No response,Statement 1: Promotes development,Other
Meera Iyer,47,Non-binary,Urban,2021,Not able to vote,No response,Party,BJP,No response,Religious leader,Was ill,Great deal,Did not respond,Worse,2,Other,No,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Other
Meera Iyer,47,Non-binary,Urban,2022,Able to vote,No response,Party,INC,No response,Family member,Did not feel like voting,Great deal,Yes,Worse,3,Education,No,Yes,Don't know,5,Global image,Statement 1: Promotes development,Rahul Gandhi
Meera Iyer,47,Non-binary,Urban,2023,Not able to vote,On the day of voting,Party,Not sure,No good alternative,"No one, I voted on my own",Other,No response,Did not respond,Better,2,Education,Yes,Yes,Don't know,3,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
Meera Iyer,47,Non-binary,Urban,2024,Not able to vote,No response,No response,INC,No good alternative,Don't know,No response,Not at all,Don't know,Much better,3,Healthcare,No,Yes,Don't know,1,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Meera Iyer,47,Non-binary,Urban,2025,Not able to vote,During the campaign,Party,BSP,No response,Caste/community leader,Was ill,Somewhat,No,Much worse,2,Education,Not sure,No,Yes,5,Employment opportunities,No response,Priyanka Gandhi
Vidya Agarwal,56,Female,Urban,2020,Not able to vote,During the campaign,Party,BSP,Really wanted to vote,Friends/neighbors,Was ill,No response,Did not respond,No response,3,Economy,Not sure,No,Don't know,3,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Vidya Agarwal,56,Female,Urban,2021,Able to vote,After announcement of candidates,Candidate,BJP,No response,Other,Did not have necessary documents,Somewhat,Yes,Remained same,1,Other,Not sure,No,No,4,Modi's leadership,No response,No response
Vidya Agarwal,56,Female,Urban,2022,Able to vote,During the campaign,No response,BSP,No good alternative,Don't know,Other,Great deal,No,Remained same,1,Healthcare,No,Yes,No,3,Reducing poverty,Statement 2: Important for the same party to remain,Rahul Gandhi
